	P4. 양*선
양*선	그리고 여기를 제가 투자를 하는 게 아니니까 매매랑 매수를 할 수 있는 게 아니라서 굳이 미래에셋에서 해야 되는데 이거를 또 깔 필요는 없는 거
진행자	"혹시 모바일로도 그럼 종목 토론방 이용하세요? 아까 이제 보신다고 하셨던 미래에셋에서도 뭔가 네이버가 연결돼서 보인다고 말씀 주셨던 것 같아서.
네 보세요. 네 혹시 최근에 그런 종목 토론방이 좀 업데이트가 됐는데 알고 계셨나요?"
양*선	두 가지인 것 같던데
진행자	두 가지라고 하면 어떤 걸까요?
양*선	네이버요?
진행자	네 네이버
양*선	"미래 셋에 보면은 종목 토론방이 두 가지가 있거든요.
네이버 하나 연결되어 있고 하나는 다른 데로 연결되어 있고 자체적인 토론방이"
진행자	네. 둘 중에 어떤 걸로 보세요?
양*선	이 사람을 더 많이 어떻게 그래?
진행자	그렇군요. 혹시 제가 업데이트 됐냐고 여쭤본 게 그 화면이나 안내 콘텐츠들이 좀 달라진 게 최근에 있었는데 혹시 알고 계셨어?
양*선	그가 좀 앞에 나오고 그다음에 사람들 댓글 다는 거
진행자	뉴스가 좀 나온다 이렇게 생각이 드셨군요
양*선	이미지 같은 게 뜨고 그 밑에도 막 이렇게 사람들 댓글
진행자	혹시 그렇게 차이가 좀 생겼다라는 거는 이런 경험에서 좀 느낌이나 생각들도 좀 차이가 있었을까요?
양*선	들어가 보면은 뭔가 레이아웃이나 이런 게 좀 바뀌었구나라고 하지만 거의 뭐 쓸데없는 얘기잖아
진행자	그렇군요.
양*선	디테일하게 들어가 보지는 않는 것 같아요. 그냥 사람들이 이렇게 생각하고 있구나 정도
진행자	"화면을 좀 준비해 봤는데 이제 모바일로 보셨을 때 뭔가 이런 화면들로 좀 바뀐 부분이 있거든요.
모바일 종목 토론방에 3번 물론 미래에셋 앱에서 보셨을 때랑 좀 다를 수도 있는데 한번 보실 시간을 좀 드려볼게요.
어떤지 느낌을 한번 여쭤보려고 합니다."
진행자	"그냥 지금 이제 종목 상세 하나 띄워놓은 그 화면으로 봐주시면 될 것 같아요.
이거 네 초론 혹시 아까 이제 뉴스가 좀 떠 있었던 것 같다라고 이제 느낌 받으셨던 거나 이런 부분들 화면 보시고 좀 떠오르는 게 다시 있으시면은 말씀 주시면 좋을 것 같아요."
양*선	"미래에셋에 연동되어 있는 그거랑 좀 다른 것 같긴 한데 좀 다른가요?
그냥 이모티콘 올라오는 거 이런 게 좀 달라진 것 같기도 하고"
양*선	하이 뭐 이렇게 사람들이 추천한 건가요? 그런 것 같기도 한데 쓸데없는 얘기를
진행자	만약에 이제 지금 모바일로 접속을 하셔가지고 이렇게 종목 토론만 보는 상황이라고 하면은 이용하시면서 어떨 것 같으세요?
양*선	"네이버 페이 증권 들어가서 여기 종목 토론방에 들어갔대요.
특별하지 않을 것 같은데 비슷한데요."
진행자	"기존에 경험이랑 비슷하다 이렇게 느껴지세요 알겠습니다.
모바일 화면도 한번 좀 봤고요. 저희가 지금부터는 이제 기존 경험에 대해서 이야기 나누는 거는 여기까지 하면 될 것 같고요.
준비한 화면들 보면서 다음 과정으로 한번 넘어가 보겠습니다.
잠깐 조작하지 말아주시고 제가 설명을 좀 드릴게요.
프로토타입 화면을 이용해서 몇 가지 테스크 수행해 보려고 하는데요.
오늘 준비된 화면은 저희 미완성된 프로토타입 화면이에요.
그래서 모든 버튼이나 기능이 다 작동하지는 않고요.
그래서 일부의 화면들만 좀 확인할 수 있도록 저희가 준비를 해놓은 상태입니다.
그렇기 때문에 저희가 수행하는 과정에서 질문을 따로 드리지 않아도 어떤 거 보고 계시고 어떤 생각을 하고 계시고 또 어떤 감정이라는 생각이 드시는지 소리 내서 그런 생각들을 많이 말씀해 주시면서 진행해 주시면 더 많이 도움이 될 것 같습니다."
진행자	"그래서 최대한 좀 어색하시더라도 많이 말씀을 하면서 진행해 주시길 부탁드리겠고요.
실제로 테스크 좀 수행하기 전에 지금 첫 화면 보셨을 때 어떤 느낌이 드시는지 좀 여쭤보고 싶습니다."
양*선	약간 그 이전 화면보다는 뭔가 다 정리된 느낌이 있고 예전 화면은 살짝 시트에 막 이렇게 정보를 되게 많이 넣어야 된다는 강박 관념이 있는 그런 한 화면이었던 것 같으면은 분석에만 되게 열중한 화면이라고 생각되면은 지금은 좀 오거나이즈가 좀 된 느낌이고 여백도 있어가지고 좀 보기가 좀 편하다 그런 느낌 좀 있어요.
진행자	가장 먼저 눈에 들어오는 건 어떻게 눈에 들어오
양*선	"아무래도 환율이나 아니면 코스피 코스닥 지금 파란색이면 좀 떨어진 거고 이런 거는 거의 근데 좀 이게 컸으면 좋겠어요.
이게 파란 불이 떨어진 거잖아요. 이게 네 실시간이니까 좀 더 커야 되지 않을까 싶어요."
진행자	등락률에 대해서 보여드린 거고요.
양*선	"3100포인트가 그냥 검정색으로만 돼 있어가지고 그 밑에를 봐야지 떨어진 게 보이잖아요.
그냥 직관적으로 딱 떨어졌구나 올랐구나라는 거를 좀 더 쉽게 봤으면 좋겠어요."
진행자	알겠습니다. 지금 눈에 들어오는 거에 대해서 좀 여쭤봤고 가장 먼저 만약에 지금 들어온 상황이라면 어떤 걸 해볼 것 같으세요?
양*선	"일단은 코스피 코스닥이나 미국 달러 같은 거 좀 볼 것 같고 그 뒤에는 제가 가지고 있는 거 가지고 있는 거예요.
바로 그냥 제가 종목 종목 검색이나 검색 정보 그리고 지금 어떤 게 오르고 있는지 거래량 거래량은 좀 잘 안 보고 제가 투자하고 있는 게 제일 중요하잖아요.
그러면은 여기에서 거래대 대금순 이런 거는 제가 가지고 있지 않으면은 궁금하지 않은 거니까 그냥 그냥 바로 그냥 제가 가지고"
진행자	"가지고 있는 걸 바로 검색을 하시겠다 이렇게 말씀 주셨어요.
네 오늘 인터뷰를 통해서 기존의 PC 서비스를 어떻게 이용하는지 제가 여쭤봤잖아요.
그래서 네이버 포털 사이트에 검색을 해서 바로 보여지는 모습을 보고 어떨 때는 이제 종목 상세에 들어가서 보기도 하고 이런 말씀들을 해 주셨는데 바로 제가 종목 상세를 그럼 연결을 한번 해볼게요.
기존에 그렇게 쓰고 계시니까 잠시만요."
진행자	네 검색해서 이제 들어오는 과정은 사실 화면이 준비가 안 돼 있었어 가지고 그 안에서 뭔가 좀 더 궁금해서 이제 들어온 상황이라고 했을 때 어떤 것들 아까 보신 것처럼 어떤 것들 보실 것 같으세요?
양*선	지금은
양*선	거래량 거래량이 지금 기관이 얼마를 샀는지
진행자	진단이 거래량을 좀 찾고 계세요 기관이 얼마나 샀는지
양*선	여기 거래량 외국인 기관이랑 샀는지 팔았는지 그것도 대충 보고 모형 같은 거는 도 올라가고 있는 거지 호가 같은 거는 체결가는 대충 빨간 불이면은 올라가는 거 있는 거래량을 많이 볼 것 같아요.
진행자	거래량을 좀 많이 보세요. 그럼 거래량을 좀 중요하게 생각하시는 이유는
양*선	아무래도 외국인이 기관이 좀 살 때가 호재가 있거나 이슈가 있을 거니까 제가 가지고 있는 것 어느 그 전날이나 며칠 동안 샀는지 계속 좀 보게 되고
진행자	네
양*선	아무래도 계속 사고 시간은 들고 있어야겠다. 계속 외국인이 판다 그러면 팔 준비해야겠구나 이런 생각을 하게 되는
진행자	"네 처음에 이제 들어오셔서는 이제 이런 왼쪽이나 다른 부분들 이제 마우스 컷을 좀 옮기시면서 이렇게 확인하시는 모습이었는데 혹시 어떤 거 찾고 계셨어요?
어떤 내용을 좀 기대하면서 보셨던 건지 궁금합니다."
양*선	"그래프는 대충 그냥 전반적으로 본 것 같고 이제 고가가 얼마 됐는지 저가 오늘 뭐 최고는 가고 시중 같은 거는 왜 항상 있는 거 그 전반적으로 본 것 같아요.
그래"
진행자	그렇군요. 원하는 내용들 그 종목을 검색해서 좀 진입하셨을 때 원하는 내용들 쉽게 찾을 수 있으셨나요?
양*선	"아니 그 밑에 이렇게 있어가지고 좀 일단은 내용 표시 같은 게 있어야지 좀 더 내려보게 될 텐데 이 화면에 처음에 딱 들어가면 이 화면이 나오잖아요.
이게 끝인가라는 생각이 좀 들어가지고 계속 헤맸던 것 같아요.
거래량을 찾으려고"
진행자	확인하시는 정보가 좀 밑에 있어서 있는지 그런 부분들을 좀 처음에는 좀 인지하기 어려웠다.
양*선	시실 같은 것보다도 제가 궁금한 건 거래 라이 이거든요.
진행자	그럼 이제 좀 앞으로 올라갔으면 좋겠다.
진행자	이 종목 상세 화면을 좀 확인하시는 과정이 기존 경험이랑 좀 다른 부분이 있었나요?
양*선	그래서 워크 워 기존 메일 보
진행자	아까 화면 잠깐 봤었어.
양*선	그때는 호가 이런 게 없었던 것 같은데 호가 그리고 약간 레이아웃이 예쁘게
진행자	"그러니까 이제 다르다라고 생각되는 부분들이 이제 양미선 님께서 어떠신가요?
이게 바뀐 부분들이"
양*선	기존 거는 살짝 엑셀 같은 느낌 그렇게 따닥따닥 있는 느낌 정보 위주였다면은 그래도 좀 여백도 주고 한눈에 보기에는 좀 깔끔한
진행자	"한눈에 보기 깔끔하다 이렇게 느껴지세요. 네 그렇군요.
알겠습니다. 바로 다음 과정으로 한번 넘어가 보겠습니다.
다음으로 해볼 거는요. 로그인하고 내가 이제 보유하거나 관심 종목을 확인하려는 그런 상황이라고 생각을 해볼게요.
어떻게 하실지 한번 바로 시도를 해볼까요?"
양*선	이거 로그인 된 거예요. 지금
진행자	네 네
진행자	"아까 저희 기존에 어떻게 쓰시는지 얘기하면서 또 처음에 해보고 싶은 거 얘기하면서 보유하고 있는 거 또 확인해 보고 싶다고 하셨잖아요.
어떻게 할 것 같으신지"
양*선	이게 어디가 보여
진행자	눌려야 되는데 네
양*선	지금 제가 가지고 있는 거 확인하고 오르고 있으면 수용하는
진행자	오르고 있으면 되더라고
양*선	그래서 거래량 보고 가지고 있으면 이제 보고
진행자	"보유하고 있는 리스트를 좀 보시면서 오르고 있는 거 확인해야지라고 클릭했을 때 이렇게 종목 상세가 좀 나타나길 기대하셨나요?
아니면 다른 부분도 좀 기대하셨던 게 있으세요?"
양*선	다시 한 번
진행자	네네네 이 화면 보고 계셨고요.
양*선	여기 농협에서
진행자	농협에 들어가 이제 항상 하면 농협이라고 가정하고
진행자	거래량 보고 네 혹시 상승하고 있는 종목에 대해서 거래량을 확인하시는 이유에 대해서 좀 여쭤봐주
양*선	"제일 100%는 아니지만 제가 매도를 언제 해야 될지 왜냐면 매수보다 매수가 제일 중요하잖아요.
팔아야 내 돈이 되니까 그 시점을 잡는 게 외국인이나 아니면 기관이 많이 살 때 연속으로 상승할 때 저는 좀 파는 편이라서 한 20% 되면은 그 정도 시점을 잡으려고 많이 보는 편인데 그게 좀 맞더라고요.
다른 거보다는"
진행자	"매도 시점을 좀 판단하기 위해서 거래량 확인을 하셔야겠다 이렇게 답변을 주신 것 같습니다.
홈으로 한번 이동을 해볼게요. 지금 저희가 로그인하고 보유하고 있는 종목 관심 종목 확인하면서 실제로 오르는 종목에 대해서 상세 확인을 하는 그런 과정들이 있었잖아요.
기존의 네이버 PC 이용은 포털 사이트에서 검색을 하고 그 정도로 끝난다 이렇게 말씀을 주셨는데 뭔가 미래에셋 MTS나 내가 보유하고 있는 종목들 관리하는 과정이랑 좀 비교했을 때 확인하는 과정이랑 비교했을 때는 어떤 것 같으세요?
이 과정"
양*선	"근데 그 미래에셋은 들어가자마자 보이는 화면이 바로 보일 종목이거든요.
여기는 너무 많은 게 있어가지고 여기 홈이 들어가면 여기 볼 종목만 이렇게 좀 크게 떴으면 좋겠는데 옆으로 가야 되는 거잖아요.
너무 많은 정보가 있는 느낌이 딱 드는 것 같아요. 그냥 보유 종목을 먼저 로그인하면은 어쨌든 지금 내가 보유하고 있는 거를 더 보고 싶은 생각이 있으니까 로그인을 하는데 그게 뭔지 여기 메인 화면에 떠야 될 것 같은데 그냥 로그인 안 해도 이 화면은 떠 있는데 그냥 추가적으로 떠 있는 느낌이 들어가지고 이게 더 이렇게 메인 화면으로 오고 이게 약간"
진행자	"그렇군요. 보유 종목에 대해서 그럼 보여지는 내용은 적절한가요?
평상시에 이제 이용하시는 과정도 고려했을 때"
양*선	근데 이건 안 움직이는 거죠. 이게 지금 등락 룰이 계속 안 움직이잖아요.
진행자	네 지금 저희가 이제 화면으로 준비를 해가지고
양*선	저는 원래 움직여요. 화면은 만약에
진행자	어떤 수치로 생각이 되세요? 지금 오른쪽에 이제 보여지는 게
양*선	0원 600원 올랐다 이런 식으로
진행자	현재가 봐요. 종목의 현재가
양*선	"5만 9천 원 5만 9200원 그래서 지금 600원 올랐다 그 1% 올랐다 이렇게 했는데 이게 움직이는데 이게 안 움직이니까 네이버는 답답 움직이게 앞으로 만들 수 지는 모르겠지만 지금의 네이버는 안 움직이더라고요.
실시간으로 보고 싶은데 그래서 이걸 보다가 다시 제 거 이제 미래에서 키 그게 좀 불편해서 이거를 잘 안 생겼다."
진행자	"네 알겠습니다. 다음 과정으로 한번 넘어가 볼 텐데요.
지금 이제 보유하고 있는 종목들을 보고 있는데 보유 중인 이제 네이버 종목에 대해서 추가 매수를 하려는 상황이라고 가정을 해볼게요.
어떻게 하실지 한번 보여주시"
양*선	할머니들 들어가서 하실 수 있을까 해줄 수
진행자	그러니까 클릭을 해보려고 하신 거예요. 어떤 걸 좀 기대하고
양*선	"이거 더 커지지 말라고요. 호가가 여기 있지만 미래에셋 같은 경우는 지금 여기로 하면 호가가 아예 그냥 큰 창이 뜨거든요.
그래서 막 움직이는 게 보이는데 이건 이제 안 보이니까 한번 해 봤고 간편 주문 있으면 이를 들어봐요."
양*선	있어
양*선	연결이 돼
진행자	네
진행자	"네 여기까지 화면을 좀 준비해 봤고요. 이렇게 실제로 간편 주문 눌렀을 때 어떤 과정을 거쳐서 주문 화면까지 이제 도달할 수 있는지 좀 보여드렸습니다.
잘 찾아주셨는데요. 혹시 이제 간편 매매라고 좀 여기 써 있었던 추가 매매하는 상황들을 좀 가정해서 해봤는데 어떠셨던 것 같으세요?
이 과정"
양*선	"생각보다는 편했던 것 같아요. 그냥 PC로 같이 갑자기 매도하고 싶을 때는 PC 하다가 생각나면 간편 주로 이용할 것 같긴 한데 수수료가 얼마일지 궁금해요.
분명히 수수료가 있을 것 같은데 네이버를 통하면은 그냥 해주진 않을 거 아니에요?
수수료가 얼마일지 아니면 되게 싸면 괜찮으면 이용할 것 같은데 만약에 매도를 좀 많이 하게 되는 이 이거를 이용하지 않고 다시 이제 오바이로 들어가"
진행자	지금 이렇게 주문을 하시는 게 네이버를 통해서 하기 때문에 좀 더 수수료가 발생할 것 같다 이렇게 우려하시는 거
양*선	네이버에서 하는 게 아니니까 이게 이제 그래서 중계라서 수수료가 있을 것 같아요.
진행자	알겠습니다. 일단 간편 매매하는 방법을 찾고 실제로 이제 그 과정하는 것들은 어떠셨어?
양*선	쉬운 것 같아요 쉽다고 생각해 바로 옆에 이제 가편 있으니까
진행자	혹시 추가적으로 좀 기대하는 부분도 있으세요? 어떻게 되면 더 좋을 것 같다 지금 경험해 보신 바대로
양*선	"이 간편 주문이 네 버튼이 좀 여기 밑에 있으면 좋을 것 같은데 여기 거기 밑에요.
네 바로 밑에 있어야지 여기 여기 있구나 하면서 바로 누를 텐데 찾게 되는 것 같아요.
어디 있지? 여기에 있을 것 같기도 하고 막 여기 밑에 있을 것 같아서 한번 내려봤거든요.
이 버튼을 되게 찾는데 약간 복잡했던 것 같아요. 그래서 바로 여기 호가 시세 아니면 이쪽 버튼에 크게 좀 있으면 좋을 것 같은 느낌이 있어요."
진행자	호가나 시세 근처에 위치했으면 좋겠다라는
양*선	아니면 커진서스 밑에 여기 크게 보통은 온라인에서 주문할 때 보통 여기 크게 있잖아요.
진행자	아 네네
양*선	그거를 약간 기대하고 찾아보게 된 것 같아
진행자	"뭔가 쇼핑 주문하는 이런 것들을 말씀하시는 거군요.
네 알겠습니다. 다시 홈으로 한번 이동을 해보겠고요.
제가 요구는 한 상태에서 다음으로 해볼 거는요. 좀 관심 가는 정보를 한번 자유롭게 찾아본다.
새로운 종목이나 아니면 투자 정보들을 찾아본다라고 생각을 하고 한번 탐색을 해보시면 좋을 것 같습니다.
이 안에서 네 어떤 특정한 목적 없이 내가 새로운 종목을 좀 찾아보거나 투자 정보를 얻겠다.
네 미국 좀 눌러보고 싶으셨어요? 어떤 내용 확인하고 싶으세요?"
양*선	"아무래도 우리나라 주식이 미국이랑 미국이 전날 얼마가 올랐는지 그거에 따라서 한 80%는 오르고 내리는 게 비슷하더라고요.
그래서 미국 전날 어떻게 됐는지 테슬라나 애플 같은 게 어느 정도 됐는지 찾아보고 싶어서 물어봤어요."
진행자	그렇군요. 일단 지금 준비된 화면으로는 이제 미국 랭킹이 좀 준비가 안 돼 있어서 또 다른 탐색도 더 이어서 해 주시면 좋을 것 같습니다.
진행자	그리고
양*선	"코인 코인도 아프트 오늘 미스트 코인이나 이더리움은 그래도 대표적인 거니까 얼마나 올랐는지 그냥 참고적으로 이 두 개 정도는 보겠고 하늘은 아까 봤고 ETF는 아직 안 하고 있어.
사실 이런 딱 맞는 종목은 잘 안 보게 되는 것 같아 약간 쓸데없는 정보인 것 같은 느낌."
진행자	"지금 홈 화면에서 이제 스크롤하면서 좀 찾아보셨는데 더 해보고 싶은 건 없으세요?
이제 다른 메뉴를 좀 들어가 보셔도 되고"
진행자	네 일단 홈 화면을 다시 한 번 좀 꼼꼼히 확인해 주셨는데 혹시 관심이 좀 생기는 종목이나 내용들이 있었다면 어떤 거가 좀 관심이 생기셨어요?
양*선	"분위기 엿보기 이거는 아니 저는 하이닉스는 작년에 팔았거든요.
제가 샀다면 이런 거 대충 알기 때문에 한번 봐볼까 이런 생각이 좀 요즘에 많이 올랐잖아요.
30만 원 정도로 아마 여러 스페이스는 아직 많이 올라가지고 못 샀는데 이런 거 이런 건 좀 궁금한 것 같아요.
다른 사람은 몇 층에 샀을까? 3300원 가시면"
진행자	하나 이제 콘텐츠 얘기 좀 해 주셨으니까 좀 위에서 말씀 주셨던 거 여쭤보고 싶은데 지금 나오는 딱 맞는 종목은 이 부분에 대해서는 그냥 관심이 안 가는 부분이다 이렇게 좀 평가를 해 주셨는데 어떤 것 때문이었는지 조금 더 부연 설명
양*선	"이런 거는 미래에셋이나 이런 거 항상 나오는데 제가 투자하고 있는 게 있으니까 대충 매칭해가지고 나오는 게 관심이 관심이 있어야 저도 이제 투자를 하게 되는 거잖아요.
네 그래서 하나 종목을 가지고 있는데 비슷비슷한 거 투자 추천을 해 주면은 등산 투자를 하기 때문에 하나에 몰빵하진 않아서 비슷한 게 쭉 나오니까 관심이 없게 돼요."
진행자	"알겠습니다. 저희가 지금 어떤 과정들을 해봤냐면요.
제가 네이버 페이 증권 이제 새롭게 만들어진 홈 화면을 보면서 새로운 종목이나 투자 정보를 한번 탐색해 봐주시면 어떨까요?
이렇게 좀 요청을 드렸었어요. 혹시 그 과정을 좀 경험하고 나서 어떠신 것 같으세요?
내가 새로운 뭔가 정보를 좀 얻기에 좋았다 적절했다라고 판단하시는지 아니면 어떤 다른 의견이 있으시면 좀 여쭤보고 싶습니다."
양*선	"새로 리뉴얼 됐다고 해서 그렇게 특별한 콘텐츠가 지금 보이는 것 같지는 않거든요.
미래에셋에서 항상 봤던 거 아니면 네이버 딱딱 필요한 거는 비슷하잖아요.
거래 대금 항상 나왔던 거라서 특별한 거는 제가 느끼지 못했던 것 같아요."
진행자	"혹시 어떤 정보가 조금 더 있었으면 뭔가 새로운 종목을 내가 찾는 데 있어서 더 활용할 수 있었을 거라고 생각하세요?
좀 더 기대하시는 내용이 있는지 한번 여쭤봤습니다."
양*선	정보 면에서요. 제가 얻고 싶은 얻고 싶은 정보요
양*선	"그럼 제가 투자하고 있는 종목에 주가 저는 항상 그건 좀 찾아보거든요.
앞으로 오를 뭐라고 그래야 되죠? 증권회사에서 이게 앞으로 얼마 정도 오를 것 같다 갑자기 뭐라고 그러지 그게 생각이 안 나네."
진행자	추가 전망이나 예측이나 이런 것들
양*선	"그런 거 하나 지금 막 카카오 카카오 페이가 많이 오르고 있으니까 그게 한 10만 원 찍을 거다.
이게 허황된 것 같지만 앞으로는 좀 오를 건가 그들의 그냥 그 애널리스트들의 말 같은 거 그걸 좀 들어보고 싶은 것 같아요.
그래서 유튜브도 많이 찾아보거든요. 갑자기 오르면 어느 정도 오르지 그래서 애널리스트 증권 방송들 많잖아요.
그런 거 제가 찾아보는 편이라서 그게 좀 연결돼 있으면 좋겠다라는 그 갑자기 뜨고 있는 종목들"
진행자	근데 지금 홈에서만 좀 선택을 하셨는데 다른 메뉴들은 좀 관심이 안 생기셨어요
양*선	여기 위에도
