	P5. 김*현
김*현	"예를 들면 일단은 여기에서 국내 주식에서는 일단 일단 전체적인 일단 전체적인 리포트를 보고서 전체적인 걸 일단 먼저 볼까 일단 봅니다.
그다음에 각종 이제 업종에서 업종이라든지 이런 거에서는 업종별로 이렇게 저희가 같은 주로 이제 국방이라든지 이런 쪽에서 이렇게 보고 있고 어차피 주로 하는 게 제가 국방 그다음에 이 업종에서는 국방하고 그 이게 조선 이쪽 국방 조선 같은 거 일단 먼저 업종에 들어가면 사실 다른 기업들이 같이 나오지 않습니까?
그런데 예를 들면 이중에서 HD HD 현대중공업에 개별 주식 또 보고 개별 주식들이 현재 시황이라든지 그리고 가도 어차피 관련된 것 이걸 보게 되면은 밑에 관련된 그 기업에 대한 뉴스들이 나옵니다."
김*현	"그래서 뉴스들이 나오면서 현재 해당 기업들에 관련된 뉴스가 어떤 것들이 있구나 그다음에 이게 또 종목 토론을 제가 꼼꼼히 보는 건 아니지만 종목 토론회에서 지금 뭔가 어차피 구체적인 측정은 아니더라도 이 사람들이 어떤 것들을 언급하고 있구나.
일단 이런 것들을 이런 종목 토론을 주의 깊게 본다기보다는 일단 그런 차원에서 보고 있습니다.
그리고 업종 단위로 보는 이유가 일단 제가 특정 예를 들면 조선 분야에서 HD 현대중공업이라고 한다면 현대중공업 자체를 보는 것도 좀 중요하지만 일단 해당 분야 업종 전체에서 어떻게 흐름이 돌아가는 건가 이걸 그냥 단순히 그래프로 보는 것도 의미가 있겠습니다만 이런 들어오면 직관적으로 전입이 등락률이 바로 나오지 않습니까?
그걸 보면서 지금 전반적으로 이 업종 자체의 시황이라든지 이렇게 주가 흐름이 어떻게 되고 있구나 이걸 봅니다."
김*현	"그리고 현재까지 그런 경험은 없지만 예를 들면 업종들은 전반적으로 상승이 이런 상승인데 만약에 제가 가진 업종만 이렇게 하락이라든지 아니면 그게 제가 가진 업종만 다른 거는 10% 상승했는데 제가 가진 업종만 한 1%밖에 상승 안 했다 그러면 그건 뭔가 문제가 있다고 봐야겠죠 그래서 그런 것들이 혹시 있는가 판단을 하시 그래서 일단 기본적으로 업종으로 먼저 들어가서 해당 업종에서 관련된 물론 제기업도 보지만 다른 전체적인 흐름과 같이 흐름을 같이 보고 있습니다.
그리고 해외 주식도 있고 이게 시장 지표 쪽에서 시장 지표 쪽에서도 여기서 보면은 시장 지표에서도 있지만 유가 약간 유가하고 약간 금시세 이런 것도 현재 좀 봅니다."
김*현	"왜냐하면 이 금시세 금시세는 저희가 직접적으로 선물 투자를 하는 건 아니지만 일단 약간 선물까지는 아니지만 현물이라든지 그런 걸 가지고 있는 것들이 많지는 않지만 있으니까 그런 것들이 지금 같으면 최근 들어서 그까지 워낙 시세는 워낙 이제 변동 이게 변동 폭이 국내 증시라는 거는 비교할 수 없을 정도로 크지 않습니까?
그래서 이런 것들에서 이게 매매 타임 또 그다음에 또 이게 갑자기 또 떨어지면 또 매수 타임 이런 걸 또 보기 위해서 이쪽에서 시황 지표에서 금 시세라든지 이런 것도 바라보고 있습니다.
그리고 해외 증시는 일단 그렇게 보고 물론 해외 증시도 이제 점차적으로 해외 증시가 일단 기본적인 전체 지수는 봅니다."
김*현	"왜냐하면 우리나라는 아무리 그래도 이제 미국 지수라든지 해외 지수를 상당히 추정하는 경향들이 많고 이 해외 지수가 대게 보면 그다음 날 반영된 보다 한 2~3일 정도 7천 원 정도 또 반영되는 경우들이 있기 때문에 예를 들면 해외 증시가 23일 동안 미국 증시가 폭락을 했다고 하면 그건 또 국내 증시에 반영이 되는 경우도 있기 때문에 그런 것들도 전체적으로 보고는 있습니다.
그리고 리서치 쪽에서는 일단 기본적으로 이제 전체적으로 리포트를 이렇게 리포트의 흐름을 보는데 일단 이건 구체적으로 제가 전체적으로 본다면 이런 산업 분석 리포트를 이렇게 쭉 보면은 이렇게 각종 어떤 것들이 있던 산업 어떤 것들이지 제목만 봐도 이건 대충 이 전체적으로 이제 흐름을 잡습니다.
흐름을 잡고 경제 분석도 이제야 보면서 혹시 이제 추가적으로 채권이라든지 아니면 또 다른 주식에 대한 매수 타임이나 이런 매매 타이밍이 언제 들어가 타이지에 의해서 전체적인 흐름을 잡습니다."
진행자	"네 일단 PC로 어떤 메뉴들에서 어떤 정보들을 탐색하시는지 좀 설명을 자세히 주신 것 같고요.
좀 다른 질문을 드려보고 싶은데 혹시 모바일로도 이용을 하세요?"
김*현	"모바일도 이제 네이버 페이 네이버 페이지 이거로 봅니다.
가끔 보세요."
진행자	"혹시 PC로 이용하는 비중이랑 모바일로 들어오시는 거랑 어느 정도 될까요?
이용하"
김*현	PC가 그래도 저는 제 경우에는 한 60% 60% 70% 주로 이제 PC 없는 거 쓸 수 없는 환경에서는 한 그런
진행자	"PC로는 얼마나 쓰시는 거예요 얼마나 자주 들어오세요?
PC로는"
김*현	"PC는 기본적으로 최소한 하루에 한 번은 일단 들어옵니다.
왜냐하면 전체가 한 번 전체 보기 위해서 하루에 한 번은 들어옵니다.
그리고 이게 이쪽에 보면 이게 물론 증권도 증권이지만 이게 주식 증권 기본적으로 어떻게 보면 전체적인 경제 뉴스에 해당하는 측면도 있기 때문에 하루에 한 번 한 번은 들어옵니다.
이제 아침에 나오면은 일단 아침에 업무 시작하면 업무 시작하기 전에 하면 딱 한 번 들어오고 이제 하고 보면 될 것 같고 이 공모주 타입 공모라든지 아니면 어떤 약간 그런 상황에서는 좀 더 이렇게 중간중간에 더 자주 이렇게"
진행자	"자주 보시는 상황도 있으시네요. 예 알겠습니다.
모바일로는 이제 PC로 이용하지 못하는 상황에 이동하게 된다 이렇게 하셨는데 모바일로 쓰시는 상황이랑 이제 뭔가 보는 콘텐츠나 이용하시는 게 좀 다르세요.
모바일로 하실 때는"
김*현	"다르지는 크게 다 제 경우에는 다르지는 않습니다.
근데 아마 제가 경보에는 그렇겠지만 요즘은 아마 다른 사람들이 보기에는 아마 다른 사람들은 아마 보면 PC보다는 아마 모바일의 비중이 더 건수도 그러세요?
주변에서 보면 아마 그게 약간 그런 경우도 제가 주변에 표본이 많지 않기 때문에 그걸 일반적으로 보지는 않겠지만 아마 못 당길 비율이 더 큰 것 같고요.
그리고 요즘 요즘 전반적으로 저보다는 저 나이 때보다 약간 더 아래라든지 이런 사람들은 더 이제 모바일 쪽으로"
진행자	"모바일로 많이 이용하는 것 같다라는 주변에서 보신 내용을 얘기해 주신 것 같고요.
제가 이제 모바일 경험에 대해서 좀 여쭤본 이유가 아까 종목 토론방도 가끔 이렇게 참고 차 PC로 보신다고 하셨잖아요.
모바일 종목 토론방이 최근에 업데이트 됐는데 혹시 알고 계셨나요?"
김*현	파이도 최근에 했는데
진행자	"이용한 적이 없으세요? 알겠습니다. 기존에 모바일로 보신 적은 있으세요?
종목 토론방 들어가서 이용하시는 경험 있으세요?
네 제가 화면을 하나 좀 보여드릴 텐데요."
진행자	화면을 좀 준비해 놨었는데
진행자	"모바일 형태로 제가 만들어서 보여드릴게요. 모바일로 이제 종목 토론방이 이렇게 바뀌었습니다.
이제 화면 한번 보시고 어떤 생각이 드시는지 알겠습니다.
스크롤 한번 내려보시면서 보시고 의견 좀 여쭤보려고 합니다.
주주 인증"
진행자	도시
진행자	혹시 기존에 알고 계시던 종목 토론방 모습이랑 좀 다른 부분이 있나요?
김*현	"기존에는 제가 이거 직접적으로 제가 실시간 소통은 제가 모바일에서 많이 들어가지 않아서 이게 실시간 소 주주 인증이 그 당시에는 그렇게 이렇게 절차가 좀 약간 달라는 것 같은데 이게 지금 여기서는 지금 어떻게 보면 주주가 확실히 어떻게 보면 이게 인증된 걸로 보이는 것 같고요.
근데 이제 일단 그런 상황으로 받고"
진행자	"네 짧게만 좀 의견 여쭤보려고 잠깐 보여드렸고요.
주주 인증이나 이제 실시간 소통 이런 부분이 기존 경험이랑 좀 다른 것 같은데라고 이제 생각하셨잖아요.
혹시 그럼 다르다고 생각하시는 그런 부분들은 김상현 님께서 느끼시기에 어떤 감정으로 좀 이해를 하면 될까요?
어떤 생각이 드시는 걸로"
김*현	"제가 보기에는 일단 기본적으로 이게 주주 인증이라든지 이런 거는 좀 절차가 좀 더 전체적으로 절차라든지 이런 것들을 확실히 좀 더 강화해야 할 필요가 있고 약간 거기에 더 좀 더 가깝게 됐다고 봅니다.
왜냐하면 이게 주주 임증이라는 이유는 그게 없다 보니까 이게 사실 종목 토론이 아니고 완전히 보면은 이제 각종 어떻게 보면 이게 무슨 일반적인 커뮤니티 사이트나 다를 바가 없이 사실 그동안에 보면 그래서 잘 안 저도 사실 종목 토론 토론방은 잘 안 본 옛날부터 안 보는 이유가 이게 종목 토론하고 상관없는 내용들이 너무 너무 많더라고요.
그 해당 종목하고 그래서 이런 거 주력 인증이라든지 이 절차는 더 좀 더 이렇게 이런 식으로 좀 더 강화될 필요가 있다고 보고요."
김*현	"그래서 약간 여기서 보면 정책의도 있지만 물론 여기서 두 줄의만도 있지만 저는 그때 개인적으로 딱 이게 해당하는 기업에 대한 해당하는 건 확실하게 그 기업 주식이 기업 주주에 대한 주주들만 어떻게 모일 수 있는 그것만 딱 더 봤으면 좋겠다.
예를 들면 a라는 하다못해 개별 기업은 할 수 없다면 아까 저희 테마 업종 단위로 그렇게 해서 그렇게 했으면 좋겠다 그러면 이게 너무 잡석이 많고 이게 너무 잡설이 많고 어떻게 보면 제가 필요한 정보는 예를 들면 나 하나가 필요한데 이건 1100개로 봐도 이 관련된 건으로 찾기가 어려운 경우들이 많더라고요."
진행자	"알겠습니다. 네 모바일 경험에 대해서도 한번 여쭤봤고요.
다음 과정으로 한번 넘어가 볼 텐데요. 이제 평소 이용하시는 경험에 대해서는 다 여쭤봤고요.
앞에 있는 화면 이용해서 프로토타입 화면 저희가 보여드리고 몇 가지 테스크 한번 수행해 보려고 합니다."
진행자	"이 화면이 준비되는 동안 제가 좀 구두로 더 설명을 드릴게요.
오늘 준비된 화면은 미완성된 프로토타입 화면이에요.
그러다 보니까 모든 버튼이나 기능이 다 작동하는 것은 아니고요.
일부 화면만 좀 확인하실 수 있도록 준비가 되어 있습니다.
그래서 수행하는 과정에서 저희가 따로 질문을 드리지 않아도 어떤 거 보고 계시고 또 어떤 걸 클릭하려고 또 시도하시고 또 어떤 감정이나 생각이 드시는지 최대한 소리 내서 많이 생각이나 감정을 말씀해 주시면 저희가 더 잘 이해하는 데 도움이 되니까요.
좀 어색하게 느껴지시더라도 말씀 많이 하면서 진행해 주시길 부탁드리겠고요.
화면에 이제 나타났는데요. 제가 먼저 좀 여쭤보고 싶은 거는 지금 새로 저희가 준비하고 있는 네이버 페이 증권 PC 서비스의 첫 화면이에요.
처음 보셨을 때 일단 어떤 느낌이 드시는지 여쭤보고 싶습니다."
김*현	"기존보다 어떻게 표현을 표현하자면 일단 더 이제 시각적으로 더 직관적으로 더 와닿는 느낌이 듭니다.
시각적으로 더 이제 와닿는 느낌이 들고 물론 그러면 이 앞에도 물론 이렇게 기존에 보면 어떻게 뉴스들이 약간 단위로 나열했다고 하면은 이렇게 핵심적으로 해서 이렇게 큰 식은 AI가 추출했지만 아주 핵심적인 거를 키워드로 뽑고 관련된 것들을 사진과 함께 배열함으로써 이게 시각적으로 이게 바로바로 이게 와닿을 수 있는 직관적으로 더 와닿는 느낌이 들고요."
김*현	"그다음에 해서 글로벌 종목 랭킹에서도 기존에도 물론 당연히 종목 랭킹이 있었지만 좀 더 이렇게 이게 약간 어떻게 보면 편집이라든지 이런 그런 차이도 있다고 보지만 이게 좀 더 어떻게 보면 그러면 대한민국이 대금 거래량 시가총액 이런 단위 각 단위별로 이렇게 어떤 서열이 나오는 게 랭킹이 나오는 게 좀 더 기존보다 이제 더 와닿는 느낌 시각적으로도 더 와닿는 느낌이 드는데 그리고 한 번에 또 파악하기가 좀 더 좋은 것 같습니다.
알겠습니다."
김*현	"기존에도 어떻게 보면 다 옆에 경제 캘린더까지는 아니어도 경제 캘린더가 있었는데 이것도 바로 옆에 이렇게 시간 단위로 해서 이게 기존에는 보면 이게 시간 단위가 물론 잘 있었어도 제가 잘 보지를 못하고 그냥 리스트 단위로 봤는데 바로 옆에 시간과 함께 이렇게 시간을 타임 테이블 형식으로 나오니까 이것도 역시 물론 그 타이밍 자체가 저희가 중요한 건 아니지만 타임 테이블 형식이다 보니까 좀 더 이렇게 한 번 더 이렇게 보게 되는 주의가 가는 측면이 있습니다.
알겠습니다."
진행자	첫 인상은 좀 직관적으로 보이고 시각적으로도 눈에 눈에 잘 들어온다 이렇게 평가해 주셨는데 가장 눈에 들어오는 건 어떤 게 들어오셨어요?
김*현	"처음 들어봤을 때 이제 이 바로 이 타이틀이 이게 제일 먼저 밤 사이 SLP 요거 500 풍이 나온다.
기존에 이게 어떻게 보면 강약이 없이 전부 다 이 리스트 당이 나가는데 이거 바로 이제 어떻게 보면 전체 네이버 페이 증권 전체의 테마가 먼저 하는 이번 화장 봐야 되는 뉴스가 먼저 나오기 때문에 이것만 어떻게 보면 봐도 지금은 어떻다 이"
진행자	그럼 가장 봐야 되는 뉴스 이렇게 좀 표현해 주셨는데 지금 보이는 이 타이틀이 이제 뉴스의 타이틀이다 이렇게
김*현	제가 20개 전 지금 돌아가는 그런 모도 봐야 되는데
진행자	"네 알겠습니다. 봐야 되는 뉴스처럼 보이고 그게 눈에 가장 들어오셨다 이렇게 이해를 하겠습니다.
가장 그럼 먼저 이 화면 이제 들어오셨다라고 하면 어떤 걸 해볼 것 같으세요?
가장 해보고 싶으신 거는 어떤 건가요?"
김*현	"지금 뜨는 지금 뜨는 종목이라든지 지금 뜨는 종목 여기서 이렇게 이제 잠깐 보면은 지금 뜨는 종목 지금 뜨는 어차피 이제 거래 대금이라든지 이거 봤기 때문에 거래 대금이 삼성전자가 이렇게 지금 뜨는 종목이 지금 뜨는 검색 종목이 있다면 뜨면 삼성이면 삼성 이렇게 해서 어떤 게 있는지 일단 이렇게 한 번 더 그 세부적으로 들어가서 확인하든지 해서 저희가 확인할 것 같습니다.
왜냐하면 지금 뜬다는 게 뭔가 이제 이슈가 있으니까 뜨는 걸 테니까요."
진행자	뭔가 이슈가 있을 것으로 판단되고 다른 랭킹에도 보이긴 하지만 지금 뜨는 검색 종목이 가장 눈에 들어오고 해볼 것 같으시다.
김*현	"일단 그건 해봐야 될 것 같습니다. 왜냐하면 이제 지금 뜬다는 건 이게 또 거래 대금 양과 달리 어떤 해당 종목에 대한 어떤 이슈라든지 아니면 어떤 사건 사고가 있었다든지 이럴 수가 있기 때문에 그러면 제가 해볼 것 같습니다.
알겠습니다."
진행자	"이제 저희가 상황을 조금 드려볼게요. 처음 말씀드리고 싶은 좀 해볼 것들은요.
아까 저희가 인터뷰 통해서 평상시에 어떻게 이용하시는지 좀 봤었고 그때 이제 말씀 주신 게 주요 지표들을 보고 또 업종별로 확인하시는 부분들이 있다 이렇게 설명해 주셨잖아요.
동일하게 이제 그런 목적으로 방문했다고 가정하고 이 바뀐 서비스에서 이렇게 해본다라고 하면 어떻게 하실지 마켓에 이동할 것 같으세요?"
김*현	일단 지금 현재 상태는 일단 기본적으로 화면에서 마켓에 일단 그런 지표라든지 이런 것들이 마켓으로 있을 것 같아
진행자	네 이렇게 이동할 것 같습니다. 일단 이동됐는데 추가로 아까 하려고 하셨던 대로 더 해보신다면
김*현	전체적으로 게 아니고 입시에서
진행자	종목 발굴 눌러보고 싶으세요?
김*현	"일단 종목 종목 업종 테마라든지 업종 단위가 그게 약간 업종이라든지 이런 거 테마 단위가 일단 어디가 있는지 여기 다 업종 테마가 여기 있구나 업종 테마가 있고 업종 테마에서 예를 들면 저기 예를 들면 제가 한 건 아니지만 예를 들면 항공이라든지 이런 식으로 이렇게 업종 단위로 업종 단위로 나왔으면 여기서 이제 들어가서 업종을 봐서 똑같이 볼 것 같습니다.
업종에서 이게 다 나오는 건 아니니까 지금 현재 왜냐면 제가 지금 이 말이 종이와 목재라고 하면 종이나 목재 용으로 들어가서 예를 들면 제가 여기서 회 무인 페이퍼를 만약에 투자하고 있다고 가정한다면 일단 관련해서 해당 업종을 이렇게 똑 같이 볼 것 같습니다.
에서 업종이 어차피 거래량도 이제 이거 자체 화면만 봐도 전체적으로 나오기 때문에 일단은 해당 업종을 들어가서 보고 제 어떻게 보면 제약을 보유하고 있거나 향후 투자하려고 하는 종목에 대해서는 더 볼 것 같습니다.
그렇군요."
진행자	"일단 홈 화면에서 좀 마켓으로 이동하셔가지고 최종적으로 이제 업종 관련된 정보를 확인하시는 거 이제 동일하게 해봤어요.
기존에 하시는 것들 좀 바뀐 화면으로 봤을 때는 어떠신가요?
수행 과정에서 좀 어려움은 없으셨는지"
김*현	"그러겠죠. 딱 지금 들어오니까 어떻게 보면 마켓에서 이게 지금 옆에 뜨는 어떻게 보면 아이템이 메뉴들이 있고 보니까 딱 주식 이렇게 금융 상품 이렇게 되어 있어서 만약에 이 밑에 어떤 메뉴가 더 있는지를 물 이렇게 들어가면 더 나오겠지만 약간 이렇게 처음에 들어 처음 들어갔을 때는 이게 업종이라든지 이런 거 찾는 게 약간 좀 당황스러웠고 당황스럽습니다.
그리고 이게 물론 실제 이제 화면하고는 이게 다르지만 이게 너무 이렇게 지금 현재 보면 계속 이걸 전체적으로 내려가야 되지 않습니까?"
김*현	부여 명칭처럼 주식부터 해서 업종 공모주 매매 주고 그냥 증시 자금 쭉 내리다 보니까 결국은 이만큼 스크롤이 이제는 팔린 거에서는 좀 이렇게 일일이 들어가서 찾기가 어려울 것 같고 만약 차라리 주식이라면 대한민국도 들어가서 주식이라면 여기다 큰 목 큰 예를 들면 주식 업종 업종 이렇게 해서 몇 가지는 이제 밑에 약간 물론 가리기는 당연히 할 수 있지만 펼쳐보기 하면은 세부적으로 다 나오지는 않더라도 그런 테마들은 어떤 것들이 있는지는 좀 좀 보였으면 좋겠습니다.
진행자	이 주식이라는 메뉴에 어떤 하위 메뉴들이 같이 보였으면 좋겠다.
김*현	"물론 받을 사람은 받아도 되겠지만 보였으면 안 그러면 이게 저희가 저도 아까 전에 처음 들어갔을 때는 여기 주식 이게 이것만 떠 있으니까 주식만 있는 줄 알고 이 밑에는 업종은 어디서 찾아야 되나 했는데 밑에 내려가서 찾다 보니까요.
그래서 약간 그거는"
진행자	"처음 확인하신 입장에서는 좀 찾기 어려운 부분이 있었다 이렇게 이해를 하겠습니다.
다시 처음으로 이제 다음 과정으로 한번 넘어가 볼게요.
지금 좀 제가 해볼 거는요. 로그인을 하시고 내가 이제 보유하거나 관심 종목으로 등록한 종목들을 한번 이용하려는 확인하려는 상황이라고 가정하고 한번 해보시겠습니다.
마이로 이동할 것 같으세요?"
김*현	이 일단 보유하고 있는 종목 같으면 같은 많이보다는 이게 지금 약간 화면이 약간 좀 바뀌다 보니까 그런데 일단 마켓에서도 기본적으로 전적으로 저 어차피 종목이 많지가 않으니까 저 같은 경우에는 일단 마켓에서 일단 업종으로 확인하는 건 확인할 것 같지만은 만약 이게 나중에 업종 종목들이 많을 경우에는 일단 마이크로에서 종목 네 종목으로 이렇게 볼 것 같습니다.
진행자	"알겠습니다. 마이로 이동할 것 같으시다 이렇게 했는데 저희가 사실 로그인 과정을 오른쪽에서 좀 준비해 놓은 게 있어가지고 눌러서 보여드릴게요.
일단 이 화면이랑 이 화면에서 이제 관심 종목이랑 보유 종목 한번 다시 확인해 보시고 다시 마이로도 이동해서 기대하시는 모습들을 확인할 수 있는지 보겠습니다.
여기 종목은 왜 클릭해서 이동하셨어요? 네이버 이동 후"
김*현	"네이버 지금 약간 보니까 전일 대비 급등이라고 실시간 실시간이 있어서 혹시 종목 종목 토론에 혹시 관련된 것들이 있는가 어떤 이슈들이 있는가 해서 일단 봤고요.
그다음에 약간 지금 기본적으로 이건 매 상황을 제가 네이버를 보유하고 있지는 않지만 네이버 상황이니까 네이버 관련해서 혹시 종목 분석이라든지 리포트에 또 새로운 뭐가 나온 게 있는가 이런 것들을 일단 확인하는 차원에서 일단 들어간 것 같습니다.
그리고 아이에스는 일단 보유 자산에서 일단 보유 자산에서 일단 저희랑 이렇게 똑같이 이런 오늘 이게 수량이라든지 물론 이게 당연히 보겠지만 투자 수익이라든지 보겠지만 전체적으로 이 종목에서 일단 이게 현재 이제 전체적으로 어떻게 오른 거 손익이라든지 이런 거 전체적으로 이제 이걸 개별적으로 본다기보다는 일단 전체적으로 한번 일단 손익이라든지 이런 것들을 볼"
진행자	"네 알겠습니다. 일단 홈 화면에서 시작해서 내가 보유하고 있는 종목들 확인하는 과정 한번 해봤잖아요.
네 바뀐 화면에서 경험해 보니까 어떠셨어요?"
김*현	"좀 더 이제 마이로 해서 본다든지 이게 여기서 크게 기존보다 크게 저거 한다기보다 좀 더 어떻게 보면 이제 바로 서 마이에서도 그렇고 이게 지금 현재 기존하고 내용은 저기 내용적으로는 기존 다 기존에도 내용들이 있는 내용이지만 좀 더 들어오는 것들이 종목이라든지 이런 것들이 좀 더 이렇게 이게 전체적으로 약간 가독성이 좋다고 할까요?
가독성 또 좀 그런면에서 좋은 것 같습니다. 그리고 일단 이렇게 바로바로 이제 물론 가독성이 좋고 위에서 다이 일단 현재 상태에서 일단 직접 일단 그렇게"
진행자	"네 알겠습니다. 제가 이제 처음 화면 보여드렸던 화면이 이거였잖아요.
여기서 이제 오른쪽에서 로그인하지 않으시고 바로 이제 마이로 좀 이동하려고 하시는 모습이었는데 혹시 왜 그랬다고 생각하세요?
제가 이제 관심 종목 보유한 종목을 좀 로그인한 다음에 좀 확인해 달라고 이제 부탁을 드렸었는데 혹시 좀 눈에 잘 안 들어오셨던 건지 어"
김*현	"이건 어떤 생각 가지고 계셨어요? 이게 처음에는 저희 일단 잠깐 이게 보면 이쪽에 바로 일단 다시 로그인 관심 종목 로그인해 오른쪽 어차피 대개 저 들어가기 상황에서는 네이버 페이 증권사 들어간 상황에서는 기본적으로 네이버에 로그인한 상태로 들어갔기 때문에 제 경우에는 기본적으로 네이버에 로그인하고 거기서 네이버 페이 증권에도 들어간 거기 때문에 일반적으로 이건 주의 깊게 보지는 않았고요.
만약에 이게 전체가 이렇게 화면이 이게 실제 PC에서 이렇게 화면이 이렇게 구성이 된다고 하면은 이게 물론 여기 어차피 여기도 로그인이 있고 되게 전체적으로 로그인이 있지만 약간 이게 좀 이렇게 보니까 약간 좀 덜 들어오는 모양이 있어 더 드러운 측면이 있습니다."
김*현	"저 경우에는 기본적으로 일단 네이버 로그인하고 거기서 네이버에 들어가는 부분도 있지만 여기서 이게 너무 이렇게 관심 종목이 이렇게 어떻게 보면 이쪽에는 빽빽하게 내용들이 차 있는데 이쪽은 약간 무거운데 여백식으로 있다 보니까 이게 시각이 이쪽으로 안 가는 것 같습니다.
제가 볼 때는"
진행자	그럼 만약에 이제 로그인하고 좀 들어오신 상황이라면 들어오셨을 때 이런 화면이라면 어떨 것 같으세요?
