	P3. 원*정
원*정	"네이버 페이 증권이 네이버 페이 어플에 일부 들어가 있었던 것 같아요.
근데 아무래도 저는 네이버 페이랑 관련돼서보다는 증권 계좌랑 연동되어 있는 카카오페이 증권이나 삼성증권 어플을 더 많이 쓰다 보니까 휴대폰으로 사실 네이버 페이 증권을 직접적으로 많이 이용하지 않았어요."
진행자	"그럼 PC로 이용하시면서 또 정보 확인하시는 것들은 말씀해 주셨잖아요.
뉴스 확인하거나 종목 토론방 네이버 페이 증권 안에는 내 마이 데이터나 이런 것들이 연결돼 있지는 않으세요?"
원*정	"아니요 연결이 되어 있어요. 어 그래가지고 약간 총 저희가 계좌에 들어가 있는 금액이라고 해야 될까요?
그 금액 같은 거는 노출이 되어 있어요."
진행자	"다 증권사들 이용하시는 거 다 연결해 두셨어요 다 되어 있어요.
알겠습니다. 근데 이제 아까 카카오도 그렇고 삼성도 그렇고 다 연결해 놨다고 말씀 주셨잖아요.
이제 카카오랑 삼성에서는 다른 것들이 안 보이나요?
그러니까 그 관리를 총체적인 관리를 네이버에서 하시는 건지 아니면 다른 방법이 있나요?"
원*정	"네이버를 증권 쪽 약간 주식 관리를 위해서 마이 데이터 연동을 한 게 아니라 그냥 자동적으로 뭔가를 하다 보니까 마이 데이터 연동이 됐던 거고요.
사실 이렇게 종합해서 관리할 때는 토스 많이 이용하고 있습니다."
진행자	"알겠습니다. 아까 이제 종목 토론방도 가끔 보신다고 하셨잖아요.
모바일로 종목 토론방 보기도 하세요"
원*정	아니요 근데 모바일로는 거의 아예 안 보는 편인데
진행자	거의 안 하세요. 모바일로 이용하신다면 어떤 상황일까요?
원*정	"모바일로 이렇게 들어갈 때는 사실 경우가 거의 없긴 한데 그냥 네이버 페이 이렇게 그냥 어플 들어갔다가 옆에 눌러보는 정도인 것 같아요.
어떤 목적을 갖고 이렇게 막 즉속하지는 않는 것 같아요."
진행자	"알겠습니다. 네이버 페이 종목 토론방에 이제 모바일에서 최근 업데이트가 있었는데 혹시 알고 계신가요?
아직 못 봤어요. 혹시 그전에 화면들은 보신 적은 있으세요?
네 본 적은 없어요. 알겠습니다. 그럼 지금 바뀐 모습을 한번 보여드려볼게요.
이제 네이버를 예시로 종목 토론 메뉴를 열어드렸는데 한번 스크롤 내려보시면서 내용들 한번 확인해 보시고"
원*정	이거 좀
진행자	그런 것 같아요. 혹시 기존에 알고 계시던 내용이랑 다른가요?
원*정	"네 조금 달라진 것 같아요. 이전에 있을 때는 일단 뭔가 게시판 형태의 느낌이었다고 할까요?
댓글 창가 같은 느낌이 전혀 없었는데 지금은 댓글창스러운 느낌이 좀 나는 것 같아요."
진행자	"그 댓글창스러운 느낌이 난다라는 거는 어떤 감정으로 저희가 좀 이해를 해야 될까요?
어떤 생각"
원*정	"제가 좀 더 주로 자주 이용하는 증권 어플들의 방식을 좀 따라가는 느낌이라고 할까요?
아무래도 카카오페이나 토스 어플 같은 경우에는 이렇게 댓글처럼 달 수 있는 형태로 되어 있어서 좀 더 명확하게 그 사람들 의견이 좀 더 보이거든요.
게시판 같은 경우로 운영이 됐을 때는 제목이 있고 제가 그 제목을 클릭해서 들어가야만 그 사람의 정보를 얻을 수 있다 보니까 조금 정보 습득에 있어서 말 그대로 한 번 더 거쳐야 됐다면은 이거 지금도 직관적인 인터페이스가"
진행자	그렇군요.
진행자	"알겠습니다. 넘어가 볼 텐데요. p c 토론방도 아까 이용한다고 하셨잖아요.
PC 토론방이랑 혹시 구조를 좀 비교했을 때는 어떤가요?"
원*정	제가 아마 익숙한 게 PC 토론 방인 것 같아요. PC 토론방이 예를 들어 이렇게 들어가면은 이쪽에 이런 식으로 이게 말 그대로 제가 방금 말씀드렸다시피 제목이 나오고 이렇게 들어가면 정보가 나와 있는 말 그대로 게시판 형태였던 건데 그래서 방금 나온 방식이랑은 좀 다른 느낌으로 다가오는 것 같아요.
진행자	네 어떤 경험을 좀 비교했을 때는 어떤 게 좀 더 이제 최정 님께서 느끼시기에 내가 이용하기에 좋은 방식이
원*정	"저는 이 모바일 방식이 훨씬 좋다고 느껴지고 아무래도 이제 컴퓨터의 UI도 사실 이제 모바일을 조금 모바일 친화적으로 가는 것 같아요.
아무래도 무신사 같은 어플들만 해도 아예 모바일 UI랑 아예 인터넷 웹 UI랑 통일시켜서 운영을 했었잖아요.
근데 그만큼 사람들이 이렇게 웹 UI보다는 이제 약간 모바일 UI에 좀 더 익숙해진 것 같고 저 또한 사실 그런 것 같아서 이쪽이 이렇게 모바일 UI 쪽이 훨씬 더 눈에 잘 들어오는 것 같아요."
진행자	아까 이제 그냥 댓글 형태여서 바로 정보에 접근할 수 있는 부분이 긍정적이다라고 말씀 주신 거 외에도 혹시 좀 더 다른 부분에 대한 의견도 있으세요?
원*정	"제가 네이버를 볼 때 제일 생소했던 게 이거 진짜 산 사람들 맞나라는 생각이 들었거든요.
근데 이제 지금 이제 모바일 UI 쪽에서는 주주 인증이라든가 아니면은 이제 매매 실현한 것들 시세 차익 난 것들도 인증이 가능한지 모르겠는데 아마 그렇게 되어 있을 것 같아요.
느낌상 그런 점에서는 저랑 진짜 관심 있는 사람들이 얘기하는 느낌일 것 같아서 훨씬 나을 것 같아요."
진행자	"알겠습니다. 인증이 또 가능하다는 점도 긍정적으로 느껴지는 포인트다 이렇게 이해를 하겠습니다.
모바일 토론망 좀 업데이트된 내용들 한번 보여드려봤고요.
혹시 네이버 페이 증권 외에도 다른 증권 정보를 얻기 위해서 그러니까 투자 정보를 얻기 위해서 이용하시는 정보성 사이트들이 있을까요?"
원*정	"저는 한 2에서 나오는 리포트 조금 보는 편인데 정기적으로 엄청 본다기보다는 약간 뉴스로 얻을 수 없는 정보나 아니면 좀 더 잘 정리된 자료가 보고 싶을 때 들어가서 보는 편이에요.
아니면은 약간 증권사 리포트라고 하잖아요. 그런 것들 좀 모아놓은 기사들 같은 거 보는 것 같아요."
진행자	증권사 리포트를 모아놓은 기사들이 또 따로 있고
원*정	모아놓은 기사라기보다는 어디에서 이런 말 했고 저기서 이런 말 했고를 취합해 놓은 느낌들 그런 것들을 보는 것 같아요.
진행자	동은 어디에 가서 볼 수 있나요?
원*정	보통 그 네이버 뉴스탭에 증권 약간 경쟁 탭 이런 데서 봤던 것 같아요.
진행자	"알겠습니다. 저희가 조작해보긴 했지만 바로 이제 이용하시는 모습에 대해서 주로 어떻게 하시는지 행동이나 과정들을 그대로 보여주시면 좋을 것 같아요.
그래서 보여주시면서 어떤 정보를 보시는 거고 또 어떤 생각하시는지 소리 내서 좀 설명을 해 주시면 좋을 것 같습니다.
평상시에 이제 들어왔다고 가정을 하고 회사라고 하는 사람"
진행자	어떻게 이용하고 계신 건지 설명을 좀 부탁드릴게.
원*정	"저는 일단 주로 저는 이 해외 증시 국내 증시 나눠서 탭이 되어 있어서 먼저 보는 편이고 낮에는 국내 증시가 시장이 열려 있으니까 보통 국내 증시를 보는 편이에요.
그래서 이렇게 보고 제가 관심 있는 업종별 시세가 이렇게 있어가지고 여기 이 반도체와 반도체 장비 여기 되게 많이 들어가거든요.
여기서 등락률 순위 같은 거 보고 어디 많이 올랐네 이런 식으로 보는 편이에요.
그러다가 여기가 많이 올랐나 봐 약간 이런 생각이 들면은 종목 털어 모아 가지고 약간 반응 같은 거나 아니면 약간 사람들 사이에 뭐 돌았나 싶은 것도 보는 편이고요."
진행자	"지금은 이제 홈 화면에 반도체가 떠 있는 상황이었잖아요.
그렇지 않아도 이렇게 찾아서 들어가는 상황이 있을까요?"
원*정	찾아서 들어가기보다는 여기 마이 탭 있잖아요. 이게 로그인이 되면은 자기가 다 관심 주로 설정해 놓은 것들이 모아져 보이는데 여기에서 바로 들어갈 때도 훨씬 많아요.
진행자	거기에 이제 반도체와 반도체 장비 업종이 이렇게 나
원*정	"아니요. 업종을 이렇게 넣을 수 있는 건 아니고 제가 개별주로 관심 종목 설정해 놓은 것들이 마이에 모아져 있어요.
거기서 이렇게 제가 관심 있는 주로 바로 들어갈 때가 더 많기는 해요.
지금은 아마 안 들어오드 거라 이게 건데"
진행자	"네 그리고 이렇게 업종별로 확인하는 이제 아까 관심 종목으로 또 등록이 되어 있었다고 말씀하셨던 내용에서 이게 올랐어 이렇게 하면서 이제 토론방 이렇게 확인한다고 하셨어요.
혹시 토론 확인하시면서는 어떤 거를 보려고 하시는 건가요?"
원*정	"저는 사람들이 좋아하나 나빠하나 그런 거 좀 보는 편이에요.
좋아하는 그 사람들 반응 다 같이 환호하고 있으면 저는 팔준비는질 하거든요.
그래가지고 사람들이 긍정적인 말만 하고 있으면 이제 슬슬 약간 사팔사팔할 때 맞구나 하면서 주로 그런 거 보는 편이에요."
진행자	그렇군요. 이제 토론방 말고도 뭔가 이제 매매 매매에 영향을 주는 그런 정보들 탐색을 하세요.
원*정	여기 좀 꺼놓으면 가서 여기 쪽 보는 편이에요. 뉴스요 네 여기 뉴스에 이렇게 모아져 있는 쪽 보는 편이
진행자	뉴스 같은 경우에는 이제 방금 반도체 이렇게 관련이 없더라도 전체적으로 다 보시는 건가
원*정	"아니요. 여기 방금 들어왔는데 이런 식으로 들어가면 이 밑에 있어요.
그럼 이거랑 관련된 주식만 모아놨거든요. 이거를 봐요."
진행자	"종목과 관련된 주식들만 또 보시는 거군요. 뉴스랑 토론 보시는 모습들 좀 보여주셨는데 다른 것도 또 이용하시는 과정들이 있을까요?
네이버 페이 증권 안에서"
원*정	이거 매매 동향 조금 보는 다 잘 볼 줄은 모르는데 그냥 외국인들이 많이 샀나 기관들이 많이 팔았나 이런 거 보려고 좀 들어오는 편이에요.
진행자	아르의 동향도 보시고요.
원*정	"네 잘 볼 줄은 몰랐는데 그냥 그냥 보러는 들어오는 편이에요.
이런 것들 그래서 약간 외국인이 많이 담고 국내에 개미가 많이 팔았네 이 정도만 그냥 대량 보는 편이에요."
진행자	평상시에 그러면 이제 네이버 페이 증권 서비스 이용하시면서 조금 더 이렇게 됐으면 좋겠다 이렇게 기대하셨던 부분도 있을까요?
원*정	"아무래도 이제 증권사 어플들이 네이버 페이 말고도 제공하는 서비스가 여러 군데 있잖아요.
근데 아마도 정말로 정보를 얻거나 뭔가 토론 같은 걸 하기 위해서 네이버 페이 쪽에 들어가기보다는 그냥 휴대폰 UI 좀 더 익숙한 사람들이 많고 아무래도 주식을 요즘은 휴대폰으로 많이 하다 보니까 토스 같은 걸 훨씬 많이 할 거라 생각해요.
토스의 기능이나 아니면 카카오페이 증권 기능이랑 비교해 봤을 때 뭔가 한 페이지에 너무 많은 정보가 있다고 생각을 했었어요.
제가 보고 싶어 하는 정보는 약간 주요 뉴스가 중심인데 주요 뉴스가 보다 다른 것도 막 이렇게 이러지 하니까 어차피 옆에 광고도 있고 하니까 제가 어떤 정보를 취사 선택해서 접해야 될지 그런 것들을 좀 망설이었던 것 같아요."
진행자	"그렇군요. 이제 정보가 좀 너무 많이 있어서 취사 선택하기 어려운 부분에 대해서 언급해 주셨는데 실제로 이제 설문조사 답변으로도 그런 얘기들을 좀 주셨었어요.
너무 많은 정보가 명확하게 구분되어 있지 않고 나열되어 있다 이렇게 말씀해 주셨는데 그러면 좀 어떤 식으로 개선이 되길 기대를 하세요?"
원*정	"가능하다면 저는 이걸 쓸 때 제가 필요 없는 정보는 여기 칸에서 빼고 싶다는 생각을 했었어요.
이게 아무래도 네이버 페이 증권에 제가 마이 탭을 많이 이용하다시피 하니까 제가 관심 있는 것만 모아져 있어서 정보를 빠르게 습득할 수 있잖아요.
그럼 이 증권 홈도 제가 사용자 편의에 맞게 조정을 할 수 있어 가지고 이거는 빼버리고 여기서 선택할 수 있게 넣게 넣고 이런 식으로 실제로 삼성증권 어플에서는 그게 가능하거든요.
그래서 그런 거를 한번 생각은 해봤던 것 같아요."
진행자	"삼성증권 이제 카카오페이 같은 건 다 모바일로 이용하신 상황인 거죠?
알겠습니다. 일단 뒤쪽에서 저희가 개선된 화면들 보면서 또 기존이랑 한번 또 비교해서 얘기할 수 있으면 좋을 것 같고요.
지상 경험에 대해서 여쭤본 질문들 마치고 다음 과정으로 넘어가 보겠습니다.
앞에 이제 노인 컴퓨터 조작해서 프로토타입 화면을 이용해서 몇 가지 테스크 한번 수행해 보려고 하는데요.
오늘 이제 보여드리는 이 화면이 프로토타입 화면이에요.
그래서 모든 버튼이나 기능이 다 작동하는 건 아니고요.
그래서 일부의 화면들만 좀 확인하실 수 있도록 준비를 해놨어요.
그래서 수행하시는 과정에서 저희가 어떤 질문을 따로 드리지 않아도 어떤 거 보고 계시고 또 어떤 건 클릭하려고 하시고 어떤 감정이라는 생각이 드시는지 최대한 소리 내서 어떤 생각이나 감정을 많이 말씀해 주시면 저희가 더 이해하는 데 도움이 되니까요.
그렇게 진행해 주시길 부탁드리겠고요. 일단 조작을 하기 전에 한 가지 질문을 먼저 드려볼게요."
진행자	"이제 화면만 보시고 새로 좀 개선하려고 하는 이제 네이버 페이 증권 PC 서비스 첫 화면인데요.
어떤 첫 화면 보셨을 때 어떤 생각이 드시는지 그 인상에 대해서 여쭤보고 싶습니다."
원*정	"일단은 굉장히 UI 자체가 명확하게 바뀌었다는 생각이 들었어요.
그 이전에 UI 같은 경우에는 가로비가 좀 안 맞아가지고 양쪽에 좀 버리는 공간이 있었잖아요.
근데 얘는 지금 꽉 찬 느낌이라 가지고 말 그대로 더 많은 정보를 전달할 수 있겠다 싶은 생각이 들었고 그러면서도 이게 글자 크기의 차이를 되게 간격을 좀 주다 보니까 제가 어떤 어떤 시장의 동향 같은 거나 지금 흐름이 어떤지 좀 명확히 한 줄로 좀 파악할 수 있는 부분이 있는 것도 좋고 그리고 오른쪽에 관심 종목이 있는데 이게 아마 제가 로그인하면은 제가 관심 있는 종목들이 이렇게 등락 표 같은 게 지금 들어갈 거라고 생각을 해요.
그러면 제가 이런 뉴스 같은 걸 보면서 동시에 이 증권 현황도 같이 볼 수 있어서 되게 편리할 것 같다는 생각이 들었어."
진행자	그렇군요. 몇 가지 많은 얘기를 해 주셨는데 일단 명확하게 좀 더 구분되어 있는 것 같다라고 느낌을 받으셨다고 했는데 어떤 점에서 또 그렇게 아까 글씨 크기에 대한 얘기도 해 주셨지만 또 어떤 부분이 명확하게 구분돼 있다라고 느낌을 받으시는 건지 조금 발전 못 지습니다.
원*정	"이전에 볼 때는 뭔가 지금 이 지표를 보면은 거기에 환율도 있고 거래량도 있고 실제 급등주 이런 것도 있고 뉴스도 있고 거기에 종포방도 있고 그래서 온갖 게 다 이렇게 나열이 되어 있었다면은 지금은 뭔가 딱 그 증권 거래에 좀 맞춘 느낌이라고 할까요?
뭔가 선택과 집중이 좀 되어 있는 느낌이"
진행자	좀 거래에 맞춰져 있다 이런 느낌 받으셨어
원*정	네 거래가 아니라 약간 거래 정보 약간 증권 현황
진행자	알겠습니다. 일단 가장 먼저 눈에 들어오는 건 어떤 게 눈에 들어오세요?
원*정	저는 당연히 가운데 있는 기사 글이 제일 먼저 들어오는 거 제일 큰 글씨로 되어 있기도 하고 그리고 제일 중앙에 위치하고 있다 보니까 그리고 아무래도 사람이 글을 읽을 때 왼쪽부터 먼저 눈에 가기도 하고요.
진행자	가장 눈에 띈다고 말씀 주신 그 정보는 어떻게 이해가 되시는지 궁금하
원*정	"밤사이 SMP 50 훈풍 과감에 이어 코스피도 강한 오름세로 출발하고 있다.
아무래도 우리나라 증권 약간 동향도 사실 미장이랑 영향을 주고받을 수밖에 없잖아요.
제가 봤을 때는 얼마나 이게 영향성이 있는지 저는 자세까지 설명을 못하겠지만은 약간 이런 한 줄 평으로 이렇게 정리를 해 주니까 오늘의 약간 테마는 약간 이런 느낌이구나 하고 바로 얻을 수 있어서 좋은 것 같아요."
진행자	"한 줄로 요약되는 것이 긍정적으로 느껴진다 이렇게 평가를 해 주셨고요.
가장 그럼 먼저 어떤 걸 해보고 싶으세요?"
원*정	전 삼성전자 제일 먼저
진행자	삼성전자요. 그 부분이 왜 가장 눌러보고 싶으셨어요?
원*정	"당연히 제가 제일 관심 있는 섹터이기 때문이기도 하고 그냥 개인적 감정인 것 같아요.
저 주변에서 그런 것 같아요."
진행자	그렇군요. 아까 이제 관심 종목을 오른쪽에 로그인하면 볼 수 있을 것 같아서 유용할 것 같다 이렇게 말씀해 주셨는데 로그인을 해야겠다는 생각 안 드셨어요?
원*정	"로그인이 된다는 가정 하에 한다면은 여기가 당연히 여기가 먼저 눈에 들어올 것 같아요.
왜냐하면 관심 있는 종목이 먼저 나오니까 실제로 네이버도 매입 포털 홈페이지에 로그인하고 보면은 우측 아래에 제가 관심 있는 종목 담아놓은 게 보이거든요.
근데 그게 이걸로 옮겨왔다 생각을 하면은 바로 고객들이 갈 것 같아요."
진행자	"테스트 환경이라서 좀 그렇죠 이제 로그인 한 화면을 한번 보여드려볼게요.
네 내가 이제 보유 중이거나 이제 관심 있는 종목들 좀 확인하는 그런 상황이다.
실제 상황에 맞춰서 이용한다라고 하면 어떻게 하실지 한번 동일하게 한번 해볼까요?
아까 보여주셨던 것들 기존 어도 되나요? 네네네 눌리나요?
어떤 거는 이제 눌리고 어떤 건 안 눌리는데 이제 위쪽에 해외 ETF 이 부분은 왜 눌러보고 싶으셨어요?"
원*정	"눌리는지 궁금한데요. 첫 번째로 근데 이렇게 나눠놓은 거 굉장히 편한 방식인 것 같아요.
일단 저는 ETF랑 별개로 좀 아예 제가 증권사 어플을 나눠놓은 것도 저는 삼성증권으로는 ETF만 하고 카카오페이로 개별 주를 하거든요.
이렇게 구분해놓은 게 저한테는 되게 편하게 느껴져서 그렇게 해놓은 것 같더라는데 얘도 이미 그렇게 되어 있는 거잖아요.
그리고 이렇게 이 반도체라고 되어 있는 것 자체가 아마 섹터별로 이렇게 구분을 자동으로 해 준 것 같은데 그것도 제가 여러 섹터에 이렇게 발을 담그고 있는 약간 개미라고 한다면 되게 편하지 않을까라는 생각이 들어요."
진행자	기존에 지금 네이버 홈페이에서 종목들 관심 종목들 관리하실 때 여러 개의 그룹들로 관리를 하세요.
원*정	카카오페이에서 그렇게 폴더를 만들었는데 네이버 페이에서 딱 까지
진행자	왜 따로 안 만드셨어요?
원*정	"아무래도 컴퓨터로 뭔가 이렇게 타닥타닥 쳐가지고 한다는 게 조금 번거롭기도 했고 그리고 이게 제 주 거래 뭔가 사이트가 아니라서 그랬던 것 같아 이게 수시로 이렇게 볼 때는 폴더로 이렇게 구분되어 있는 게 편했는데 얘는 막 수시로 보고 그런 건 아니니까 그리고 하나 또 눈에 들어오는 게 이 슈카 추천도 진짜 들어오나요?
이런 거 이거는 개인이 만든 그냥 폴더인 건가 이게"
진행자	네 그래서 이제 위쪽에 있는 내용들 보고 처음에 이제 ETF나 반도체들 지금 자동으로 이런 게 분리되기를 원하셨던 건지 또 그 질문 한번 드려보세요.
원*정	저는 자동으로 분류되면 좋을 것 같아요. 제가 물론 이렇게 하나하나 할 수도 있겠고 이게 제가 만약에 폴더를 만들어서 들어간 거일 수도 있겠지만은 저는 오히려 자동으로 분류를 해줬으면 더 편했을 것 같다는 생각도 들어요.
진행자	"알겠습니다. 일단 저희가 이게 실제 뭔가 이용하는 상황을 좀 가정해서 화면을 보여드리다 보니까 이런 이제 그룹이 되어 있었던 거를 직접 등록하시는 과정이 없었으니까 그렇게 생각하실 수 있을 것 같아요.
근데 그런 그룹을 좀 표현을 해 본 거고요. 만약에 보유하고 있는 종목들을 확인해 본다면 어떻게 할 것 같으세요?
로그인해서 지금 관심 종목이 나타난 상황이고 내가 보유한 종목들 확인해 보"
원*정	이 관심 종목에서 바로 이렇게 들어갈 것 같은
진행자	개별 종목에 대해서요.
원*정	이용기 님이
진행자	그게 좀 눈에
원*정	"어 네 전 사실 네이버 페이 증권으로도 저는 컴퓨터로 사실 주식 매매를 하는 것 자체를 해본 적 자체가 없어요.
그래서 그거 자체에 좀 익숙하지 않은 사람이기도 하지만 바로 이렇게 간편 주문 기능이 있다는 것도 몰랐어요.
네이버 페이 증권 계좌가 있는 건 알았지만은 이게 컴퓨터로도 바로 이렇게 연동이 된다는 것도 몰랐고 그리고 두 번째로는 연결된 증권사라는 거는 네이버 페이 증권이 아니더라도 다른 증권사랑도 연동이 된다는 거잖아요.
이것도 편리할 것 같아요."
진행자	"다시 이제 홈으로 돌아가서 얘기를 해볼게요. 저희가 이제 원래 처음 해보려고 했던 게요.
기존 서비스에서 로그인해서 반도체 가지고 있으신 어떤 마이 메뉴에서 반도체 관련 섹터에 대해서 탐색하는 그런 과정이 있었잖아요.
동일하게 이제 지금 바뀐 화면에서 시도를 한다면 어떻게 하실지 그래서 로그인을 한번 제가 해서 보여드렸던 거고요.
그 이후에 과정을 한번 해보면 좋을 것 같습니다. 찾아본다면"
원*정	나이가 보고 싶은데
진행자	마이에요.
진행자	어떤 거 찾고 계신지 이제 왜 좀 클릭해서 보고 싶으신 건지도 조금씩 설명해 주시면서 해 주시면 좋을 것 같습니다.
원*정	"일단 카드 보기 제가 눌러봤었는데 카드 보기를 누르면 어떤 식으로 나오는지 궁금해서 눌러봤던 거고요.
그러면은 이게 이렇게 네모 네모 형태로 이렇게 나오는 건가"
진행자	그런 궁금증이 좀 생기죠.
원*정	"그건 근데 그것보다는 오히려 표로 된 형태가 사람들에게 더 익숙하고 저한테도 더 익숙한 방식일 것 같아서 네 카드 보기는 굳이 누르지 않을 것.
만약에 이 카드 보기를 눌렀을 때 위에 이렇게 정리해 놓은 것처럼 뭔가 주제를 잡아가지고 카드로 정리를 해 준 거랑 뭐랄까 지금 이 밑에 있는 종목명이랑 평가 금액 손익 이런 거를 카드 형태로 정리해 준다고 해서 가독성이 좋아지거나 정보가 더 빨리 들어오거나 그럴 것 같지 않아"
진행자	"일단 마이 메뉴로 좀 들어오고 싶으시다고 말씀 주셨고 그래서 들어왔잖아요.
혹시 원하는 내용들이 있었나요? 들어오셨을 때"
원*정	"바로 이렇게 관심 종목이 딱 나오길 바랐던 것 같아요.
원래 지금도 사실 그러하니까 지금은 사실 저는 지금도 이렇게 보유 자산이 바로 나오는지 모르겠는데 저는 연동을 안 해놨는지 모르겠지만 아무튼 관심 종목이 바로 딱 들어오거든요.
그래서 이렇게 한눈에 이렇게 풀어 보면서 보고 싶었는데 이게 나와가지고 그럴 수도 있구나"
진행자	하고 있다. 네 이럴 수도 있구나 이렇게 표현해 주시긴 했는데 이런 말이 들어왔을 때 보여지는 모습에 대해서는 그러면 이제 최정원 님께는 어떻게 느껴지시는 건지 조금 더 설명해 주실 수 있을까요?
원*정	"저는 대체로 좀 긍정적으로 생각이 드는 게 뭔가 좀 불필요한 정보는 없는 것 같아요.
여기서 저라는 사람이 네이버를 통해서 저의 보유 자산을 관리하던 사람은 아니지만은 이렇게 한눈에 이렇게 컴퓨터로 보고 제가 지금 가지고 있는 자산들을 이렇게 분리해 놓은 것들을 그리고 또 증권사별로 이렇게 나눠놓은 것들이 저도 이렇게 하나하나 계산해 보지 않았을 것 같거든요.
근데 이게 네이버에 연동했다는 것만으로 주식이 증권에는 얼마 들어가 있고 이 증권에 얼마 들어가 있고 이걸 종합했을 때 얼마나 수익이고 이런 걸 정리해 주는 것들은 좀 편리한 것 같아요."
원*정	"그리고 증권 상품도 여러 개를 사용하는 사람이라면 이것도 꽤나 편할 것 같아요.
왜냐하면 개별 개별로 얼마씩의 투자가 되어 있고 어떤 수익이 났는지를 이렇게 구분을 해놨으니까 그것도 편할 것 같아요."
진행자	"네 일단 마이 메뉴에서 관심 종목이 좀 보이길 기대하셨다고 했어요.
관심 종목에서 실제로 좀 이용하시는 게 또 반도체 섹터가 좀 모여 있는 것들 확인하신다고 했잖아요.
그런 화면이라고 가정했을 때는 원하는 내용도 찾을 수 있었을까요?
삼성전자를 예로 들어서 보신다면요?"
원*정	"네 저는 찾을 수 있을 것 같아요. 원래도 이런 형태로 돼 있고 오히려 예전에 비해서 더 가독성이 좋아진 게 지금은 사실 여기 앞에 로고가 없어요.
근데 지금은 로고를 넣어놔가지고 이렇게 지금 제가 사실 별표 쳐놓은 것들보다 훨씬 더 많이 나와 있거든요.
제 마이에 담겨 있는 것보다 근데도 오히려 바로 딱 찾을 수 있던 거는 앞에 로고 때문이었던 것 같아요."
진행자	"그래서 뭔가 저장이 돼 있는 관심 종목 폴더에 담겨 있는 이제 반도체와 관련된 종목들을 여기서 확인하시겠다 이렇게 좀 이해를 해야 될까요?
네 알겠습니다. 그럼 기존의 경험이랑 좀 비교했을 때 평상시에 이용하시는 대로 이용해 보는 거 한번 해봤잖아요.
어떠셨던 것 같으세요? 홈 화면에서 시작해서 평상시에 하시는 대로 반도체와 관련된 내 관심 종목도 확인하는 과정들 한번 해보셨는데 죄송합니다."
